Job ID: 1.5.18.5702956011984257026 
Case: 2015-TEST-CASE (TEST) 
Appliance: www.dummysite.co.uk 
29/01/2016 13:57:21   Starting scheduled job: 2015-TEST-CASE (TEST) : Process documents from "Batch_Test_0001" in batch "Batch_Test_0001".
29/01/2016 13:57:21   www.dummysite.co.uk System            Skipping Discovery per config setting
29/01/2016 13:57:27   www.dummysite.co.uk System            Started transferring files to processing node(s) in preparation for Indexing
29/01/2016 13:57:28   www.dummysite.co.uk System            File transfer has completed
29/01/2016 13:57:31   www.dummysite.co.uk Indexer           Waiting for resources
29/01/2016 13:57:45   www.dummysite.co.uk Indexer           Started
29/01/2016 13:57:45   www.dummysite.co.uk Indexer           Starting crawling
29/01/2016 13:57:45   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST_1688928497498184 Status: INDEXING
29/01/2016 13:57:45   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST1_1688928497498184 Status: INDEXING
29/01/2016 13:57:45   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST2_1688928497498184 Status: INDEXING
29/01/2016 13:57:45   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST3_1688928497498184 Status: INDEXING
29/01/2016 13:57:45   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST4_1688928497498184 Status: INDEXING
29/01/2016 13:57:46   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST5_1688928497498184 Status: INDEXING
29/01/2016 13:57:46   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST6_1688928497498184 Status: INDEXING
29/01/2016 13:57:46   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST7_1688928497498184 Status: INDEXING
29/01/2016 13:57:46   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST8_1688928497498184 Status: INDEXING
29/01/2016 13:57:46   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST9_1688928497498184 Status: INDEXING
29/01/2016 13:57:46   www.dummysite.co.uk Indexer           Throttling crawling due to large numbers of sources
29/01/2016 13:58:46   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST10_1688928497498184 Status: INDEXING
29/01/2016 13:58:46   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST11_1688928497498184 Status: INDEXING
29/01/2016 13:58:47   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST12_1688928497498184 Status: INDEXING
29/01/2016 13:58:47   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST13_1688928497498184 Status: INDEXING
29/01/2016 13:58:47   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___PST14_1688928497498184 Status: INDEXING
29/01/2016 13:58:47   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___NSF_1688928497498184 Status: INDEXING
29/01/2016 13:58:48   www.dummysite.co.uk Indexer           Crawler Session: 2015-TEST-CASE__TEST___NSF1_1688928497498184 Status: INDEXING
29/01/2016 13:58:48   www.dummysite.co.uk Indexer           Crawler Session: _LOOSEFILE_5066635480137729 Status: INDEXING
29/01/2016 13:58:59   www.dummysite.co.uk Indexer           Previously Processed 0 documents (0 bytes)
