Job ID: 1.5.34.5702956011984257026 
Case: KLUMP045 BM TEST 
Appliance: www.xxxx.co.uk 
02/02/2016 15:22:22   Starting scheduled job: KLUMP045 BM TEST : Process documents from "Batch_0001" in batch "Batch_0001".
02/02/2016 15:22:22   www.xxxx.co.uk System            Skipping Discovery per config setting
02/02/2016 15:22:34   www.xxxx.co.uk System            Started transferring files to processing node(s) in preparation for Indexing
02/02/2016 15:22:34   www.xxxx.co.uk System            File transfer has completed
02/02/2016 15:22:37   www.xxxx.co.uk Indexer           Waiting for resources
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Started
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Starting crawling
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST_1688997216974920 Status: INDEXING
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST1_1688997216974920 Status: INDEXING
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST2_1688997216974920 Status: INDEXING
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST3_1688997216974920 Status: INDEXING
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST4_1688997216974920 Status: INDEXING
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST5_1688997216974920 Status: INDEXING
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST6_1688997216974920 Status: INDEXING
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST7_1688997216974920 Status: INDEXING
02/02/2016 15:22:51   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST8_1688997216974920 Status: INDEXING
02/02/2016 15:22:52   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST9_1688997216974920 Status: INDEXING
02/02/2016 15:22:52   www.xxxx.co.uk Indexer           Throttling crawling due to large numbers of sources
02/02/2016 15:23:55   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST10_1688997216974920 Status: INDEXING
02/02/2016 15:23:55   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST11_1688997216974920 Status: INDEXING
02/02/2016 15:23:55   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST12_1688997216974920 Status: INDEXING
02/02/2016 15:23:56   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST13_1688997216974920 Status: INDEXING
02/02/2016 15:23:56   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__PST14_1688997216974920 Status: INDEXING
02/02/2016 15:23:56   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__NSF_1688997216974920 Status: INDEXING
02/02/2016 15:23:56   www.xxxx.co.uk Indexer           Crawler Session: KLUMP045_BM_TEST__NSF1_1688997216974920 Status: INDEXING
02/02/2016 15:23:56   www.xxxx.co.uk Indexer           Crawler Session: _LOOSEFILE_5066704199614465 Status: INDEXING
02/02/2016 15:24:10   www.xxxx.co.uk Indexer           Previously Processed 0 documents (0 bytes)
02/02/2016 15:32:02   www.xxxx.co.uk Indexer           Processed 540 documents (1.01 GB)
02/02/2016 15:39:44   www.xxxx.co.uk Indexer           Processed 1,085 documents (1.87 GB)
02/02/2016 15:43:35   www.xxxx.co.uk Indexer           Processed 1,738 documents (2.36 GB)
02/02/2016 15:47:17   www.xxxx.co.uk Indexer           Processed 2,246 documents (2.75 GB)
02/02/2016 15:51:38   www.xxxx.co.uk Indexer           Processed 2,781 documents (3.26 GB)
02/02/2016 15:54:39   www.xxxx.co.uk Indexer           Processed 3,384 documents (3.64 GB)
02/02/2016 16:01:00   www.xxxx.co.uk Indexer           Processed 3,908 documents (4.28 GB)
02/02/2016 16:10:12   www.xxxx.co.uk Indexer           Processed 4,428 documents (4.78 GB)
02/02/2016 16:24:26   www.xxxx.co.uk Indexer           Processed 4,974 documents (5.87 GB)
02/02/2016 16:36:29   www.xxxx.co.uk Indexer           Processed 5,475 documents (7.28 GB)
02/02/2016 16:44:20   www.xxxx.co.uk Indexer           Processed 5,976 documents (8.12 GB)
02/02/2016 17:03:17   www.xxxx.co.uk Indexer           Processed 6,477 documents (9.66 GB)
02/02/2016 17:21:31   www.xxxx.co.uk Indexer           Processed 7,055 documents (11.79 GB)
02/02/2016 17:33:04   www.xxxx.co.uk Indexer           Processed 7,564 documents (12.57 GB)
02/02/2016 17:40:56   www.xxxx.co.uk Indexer           Processed 8,134 documents (13.58 GB)
02/02/2016 17:53:43   www.xxxx.co.uk Indexer           Processed 8,648 documents (15.46 GB)
02/02/2016 18:07:16   www.xxxx.co.uk Indexer           Processed 9,193 documents (17.07 GB)
02/02/2016 18:30:04   www.xxxx.co.uk Indexer           Processed 9,718 documents (18.95 GB)
02/02/2016 18:46:49   www.xxxx.co.uk Indexer           Processed 10,297 documents (20.95 GB)
02/02/2016 19:10:06   www.xxxx.co.uk Indexer           Processed 10,822 documents (22.88 GB)
02/02/2016 19:28:01   www.xxxx.co.uk Indexer           Processed 11,327 documents (25.14 GB)
02/02/2016 19:36:02   www.xxxx.co.uk Indexer           Processed 11,845 documents (26.90 GB)
02/02/2016 19:47:15   www.xxxx.co.uk Indexer           Processed 12,407 documents (28.39 GB)
02/02/2016 20:07:32   www.xxxx.co.uk Indexer           Processed 12,919 documents (30.78 GB)
02/02/2016 20:40:59   www.xxxx.co.uk Indexer           Processed 13,423 documents (33.29 GB)
02/02/2016 20:57:03   www.xxxx.co.uk Indexer           Processed 13,956 documents (36.03 GB)
02/02/2016 21:21:50   www.xxxx.co.uk Indexer           Processed 14,460 documents (38.43 GB)
02/02/2016 21:39:25   www.xxxx.co.uk Indexer           Processed 14,964 documents (40.85 GB)
02/02/2016 21:54:50   www.xxxx.co.uk Indexer           Processed 15,477 documents (43.25 GB)
02/02/2016 22:21:57   www.xxxx.co.uk Indexer           Processed 15,978 documents (45.88 GB)
02/02/2016 22:51:36   www.xxxx.co.uk Indexer           Processed 16,505 documents (48.91 GB)
